title,author,info_type,post_agency,nation,article_date,link_url,domain,subject,text
It’s Not Too Late to Protect Blue Food Systems,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/its-not-too-late-to-protect-blue-food-systems/,F0,AG0,"Blue food systems are at a crucial tipping point, but it’s not too late to make sustainability the norm. "
"USDA, FDA Seek Information on Importance of Standardized Food Date Labeling",,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/usda-fda-seek-information-on-importance-of-standardized-food-date-labeling/,F0,AG0,A new toolkit is helping eaters voice their support for standardized food date labels. 
Protecting Vulnerable Workers: Why H-2A Visa Protections Fall Short,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/protecting-vulnerable-workers-why-h-2a-visa-protections-fall-short/,F0,AG0,H-2A workers play a vital role in U.S agriculture but remain uniquely vulnerable to workplace abuses.
Over US$489 Million Worth of Food Assistance Stalled Due to USAID Freeze,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/over-us489-million-worth-of-food-assistance-stalled-due-to-usaid-freeze/,F0,AG0,Nearly 500 million dollars of food is stuck in transit due to the U.S. foreign aid freeze.
We’re Ignoring a Major Public Health Crisis—Farmer Mental Health,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/were-ignoring-a-major-public-health-crisis-farmer-mental-health/,F0,AG0,"Major mental health organizations across the U.S. have support programs designed to address rural and agricultural health, but few focus specifically on farmer mental health."
These Crops Can Help Us Diversify the World’s Diet,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/these-crops-can-help-us-diversify-the-worlds-diet/,F0,AG0,Get to know some of the opportunity crops that can help us future-proof the food system. 
"Fair Wages, Safe Conditions: Expanding Farm Worker Protections through the Fair Food Program",,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/fair-wages-safe-conditions-expanding-farm-worker-protections-through-the-fair-food-program/,F0,AG0,The Fair Food Program is ensuring accountability and protecting farm workers. Some companies still refuse to sign on. 
The Food Planet Prize Supports Diverse Initiatives Contributing to a Sustainable Food System,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/the-food-planet-prize-supports-diverse-initiatives-contributing-to-a-sustainable-food-system/,F0,AG0,Transforming the food system is the most effective way to safeguard the Earth. The Food Planet Prize supports initiatives that help achieve this.
U.S. Policy Changes Will Have Consequences for Food Systems Globally,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/u-s-policy-changes-will-have-consequences-for-food-systems-globally/,F0,AG0,"The new administration is already reshaping global food systems, affecting humanitarian aid, public health, and global peace."
A New Fellowship Is Helping Journalists Navigate the Complexity of Food Systems,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/02/a-new-fellowship-is-helping-journalists-navigate-the-complexity-of-food-systems/,F0,AG0,"At a time when news organizations are under attack, the Center for a Livable Future is preparing the next generation of journalists. "
Global Food Security at Risk as U.S. Freezes Foreign Aid Programs,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/01/global-food-security-at-risk-as-u-s-freezes-foreign-aid-programs/,F0,AG0,"The U.S. foreign aid freeze is sowing confusion and disrupting vital food security and health programs, putting millions at risk worldwide."
"Ask ‘Why?’ to Build a More Equitable, Sustainable Food System",,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/01/ask-why-to-build-a-more-equitable-sustainable-food-system/,F0,AG0,"A version of this piece was featured in Food Tank’s newsletter, released weekly on Thursdays. To make sure it lands straight in your inbox and to be among the first to receive it, subscribe now by clicking here. Three hundred…"
How Film Is Changing the Narrative on Farming and Food Justice,,T0,非政府组织,,2025-03-11,https://foodtank.com/news/2025/01/how-film-is-changing-the-narrative-on-farming-and-food-justice/,F0,AG0,"From “Farming While Black” to “The Envoy Show,” documentary films and series are highlighting a brighter future for food and agriculture systems."
